Available Data and Morphometry,,,,,,,,,,,,,,,,,,,
Alaska Lake Database (ALDAT) data export 10/27/22 and 12/15/22 (https://www.adfg.alaska.gov/SF_Lakes/),,,,,,,,,,"*Date may correspond to the last time information was updated, and may not reflect when data were collected.",,**Blanks represent missing data in the lake database.,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,*Most Recent Survey Date,SpeciesPreviouslyStocked,**NativeSpeciesPresent,BathymetricMap,Average of ForkLength_mm,Average of Weight_g,Count of ForkLength_mm,Count of Weight_g,Abundance,SWHS
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),"Kaina Creek (Kaina River, Upper Kaina Creek)",,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kaina Lake,-146.20144,61.83765,210.44,,,15.8,,7/29/1970,,"lake trout, burbot, Arctic grayling, longnose sucker, Chinook salmon, sockeye salmon, slimy sculpin, whitefish-unspecified",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,"Kanektok River (Quinhagak, Chosen)",,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kanuktik Lake,-160.30703,59.71250,,,,30.5,,7/31/1975,,"Arctic char, lake trout, Chinook salmon, slimy sculpin, round whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kettle Lake,-143.416144,62.563693,,,,,,3/15/2011,"Arctic grayling, coho salmon, lake trout, rainbow trout","burbot, longnose sucker, slimy sculpin",No,321.8888889,,9,,,
Region III,Northwest Drainages,Kiingyak Lake,-156.97110,68.20708,165.11,,,2.7,,7/1/1977,,"lake trout, Arctic grayling, threespine stickleback, least cisco, round whitefish",Yes,,,,,,
Region III,Northwest Drainages,Kikitaliorak Lake,-156.24030,68.12429,85.39,,,4.6,,8/11/1977,,"lake trout, Arctic grayling, slimy sculpin, least cisco, round whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Kimball Pass streams,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kisaralik Lake,-159.35329,60.32216,1362.45,"306,311,823",22.48,57.4,27.58,6/27/2016,,"Arctic char, lake trout, Arctic grayling",No,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kisaralik Lake II,-159.46614,60.21565,420.06,,,58.5,,7/10/1976,,"Arctic char, lake trout, Arctic grayling",No,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Kisaralik River,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Klak Lake,-160.45762,59.72511,,,,,,7/31/1975,,"Arctic char, lake trout, Chinook salmon, coho salmon",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Klutina River,,,,,,,,,,,,,,,,,yes
Region III,Northwest Drainages,Kobuk River,,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Koyukuk R. Middle Fork (not accessed from Dalton Highway),,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Koyukuk River drainage,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kukaktlim Lake,-160.47715,59.34359,,,,2.1,,7/15/1975,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,
Region III,North Slope Drainages,Kuparuk Lake,-149.23723,68.53657,24.28,,,10.7,,7/12/1975,,"lake trout, Arctic grayling",No,,,,,,
Region III,North Slope Drainages,Kurupa Lake,-154.64469,68.35947,,,,37.5,,7/23/1977,,"Arctic char, lake trout, round whitefish",Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kuskokwim River - reach not specified,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Kwethluk River,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Lake Betty,-156.50755,68.47636,142.04,,,7.6,,8/7/1977,,"lake trout, Arctic grayling, broad whitefish",No,,,,,,yes
Region III,Northwest Drainages,Lake Isiak,-156.14832,67.72149,187.37,,,9.4,,7/1/1977,,"lake trout, northern pike, least cisco, round whitefish",Yes,,,,,,
Region III,Northwest Drainages,Lake Kipmik,-156.14152,67.95516,836.08,,,12.5,,7/1/1977,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lake Louise,-146.55208,62.32447,5913.07,"780,230,549",13.20,51.0,65.16,6/18/2021,,"lake trout, burbot, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,517,,6731,,yes,yes
Region III,Northwest Drainages,Lake Matcharak,-156.20872,67.74720,664.09,,,17.1,,7/1/1977,,"lake trout, least cisco, round whitefish",Yes,,,,,,
Region III,North Slope Drainages,Lake Peters,-145.04738,69.32291,,,,,,1/1/1968,,"Arctic char, lake trout, Arctic grayling, whitefish-unspecified",Yes,,,,,,
Region III,North Slope Drainages,Lake Schrader,-145.00258,69.37954,1077.27,,,,,7/26/1995,,"Arctic char, lake trout, Arctic grayling, whitefish-unspecified",Yes,458,1544,750,750,,
Region III,Northwest Drainages,Lake Selby,-155.67670,66.87303,1902.02,,,45.7,,7/29/1967,,"lake trout, Arctic grayling, northern pike, slimy sculpin, round whitefish",Yes,,,,,,
Region III,North Slope Drainages,Lake Udrivik,-153.99241,68.50510,,,,9.1,,7/20/1977,,"lake trout, northern pike, least cisco",Yes,,,,,,
Region III,Delta (Upper Tanana River Drainage),Landlocked Tangle Lake,-146.05418,62.99823,218.53,,,27.4,,1/1/1954,,"lake trout, Arctic grayling, round whitefish",Yes,363.2458809,508.398374,789,123,,
Region III,Delta (Upper Tanana River Drainage),Landmark Gap Lake,-146.08486,63.12974,297.85,,,47.2,,3/15/2011,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,102.25,,4,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Laura Lake,-146.24703,62.49097,43.75,,,6.4,,1/1/1987,,"lake trout, burbot, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lee's Lake,-146.39359,62.08638,30.35,,,13.7,,6/30/1960,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,690,,1,,,
Region III,North Slope Drainages,Little Chandler Lake,-152.67554,68.27687,331.85,,,18.3,16.14,10/27/2022,,"Arctic char, lake trout, Arctic grayling, round whitefish",Yes,542.6974359,1522.773143,195,35,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Dog Lake,-145.96209,62.43947,153.78,,,4.3,,7/19/1965,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Lake Louise,-146.65580,62.30231,506.32,"65,449,915",12.93,32.9,16.62,6/27/2018,,"lake trout, longnose sucker, whitefish-unspecified",Yes,585,,1,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Little Swede Lake,,,,,,,2.21,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Little Tok River,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Long Lake (McCarthy Rd),-143.29887,61.38122,,,,,,12/16/1970,,"Dolly Varden, lake trout, Arctic grayling, longnose sucker, coho salmon, sockeye salmon, slimy sculpin, kokanee salmon",Yes,675,,2,,,yes
Region III,Delta (Upper Tanana River Drainage),North Twin Lake (Meadows Road),-145.83965,63.864305,6.40,,,13.4,1.33,12/18/2013,"lake trout, Chinook salmon, coho salmon, rainbow trout","Arctic char, Arctic grayling, slimy sculpin",Yes,372,,9,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lost Bob Lake,-146.23314,62.52556,9.51,,,8.8,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lost Haller Lake,-146.16784,62.53743,11.17,,,9.1,,1/1/1987,,"lake trout, Arctic grayling, humpback whitefish, round whitefish",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Pauls Pond (Coal Mine Road),-145.82967,63.706505,2.22,,,6.7,,3/15/2011,"Arctic char, lake trout, Arctic grayling, rainbow trout",slimy sculpin,Yes,430.5,,2,,,yes
Region III,North Slope Drainages,Lower Anayak Lake,-151.48426,68.52638,,,,6.7,,7/23/1981,,"lake trout, Arctic grayling, round whitefish",No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Lower Tangle Lake,-145.96075,63.13533,137.42,"7,652,592",5.57,27.7,14.58,6/15/2022,,lake trout,Yes,548.7222222,,18,,,
Region II,Kenai (Upper Kenai Peninsula),Lower Trail Lake,-149.36673,60.44311,111.29,,7.6,12.8,,5/23/1962,,"Dolly Varden, lake trout, rainbow trout, round whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Lower Twelve Mile Lake,-145.86781,62.77960,40.47,,,6.1,,6/1/1966,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,762,,1,,,
Region III,North Slope Drainages,Lupine Lake (North Slope),-148.26286,68.82621,121.41,,,10.1,,8/8/1971,,"lake trout, Arctic grayling, threespine stickleback, round whitefish",Yes,,,,,,
Region III,North Slope Drainages,M-72,-149.17708,68.57660,8.09,,,9.1,,5/1/1983,,lake trout,Yes,,,,,,
Region III,North Slope Drainages,M-73,-149.15040,68.60968,16.19,,,9.1,,5/1/1983,,"Arctic char, lake trout",Yes,,,,,,
Region III,North Slope Drainages,M-74,-149.15096,68.62239,24.28,,,9.1,,5/1/1983,,lake trout,Yes,,,,,,
Region III,North Slope Drainages,M-77,-149.16028,68.61614,8.09,,,9.1,,5/1/1983,,"Arctic char, lake trout",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Mankomen Lake,-144.53614,63.00045,,,,24.4,,7/26/1961,,"Dolly Varden, lake trout, Arctic grayling, slimy sculpin, whitefish-unspecified, round whitefish",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Rapids Lake (Richardson Highway),-145.85858,63.50342,2.25,,,7.8,1.38,8/19/2003,"lake trout, coho salmon, rainbow trout",,Yes,293.8431373,,51,,,yes
Region III,Delta (Upper Tanana River Drainage),"Meadows Road lakes (Fort Greely Lakes, Richardson Highway)",,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),"Tangle Lake, Lower",-145.96075,63.135331,137.20,"7,649,443",5.58,27.8,14.58,6/15/2022,,lake trout,No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Michigan Lake,-146.21709,62.58475,113.31,,,8.2,,6/26/1967,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,460,,1,,,
Region III,Kuskokwim-Goodnews Drainages,Middle Fork Lake,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Middle Hanagita Lake,-143.53843,61.19347,36.42,,,5.5,,6/13/1979,,"lake trout, Arctic grayling, whitefish-unspecified",No,,,,,,
Region III,Northwest Drainages,Minakokosa Lake,-155.02388,66.92759,242.81,,,41.1,,7/31/1967,,"lake trout, humpback whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Minnesota Lake,-146.16270,62.57637,329.41,,,17.1,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, whitefish-unspecified, round whitefish",Yes,735,,1,,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Mirror Lake (Broad Pass),-149.10307,63.33487,32.37,,,9.4,,7/10/1969,,"lake trout, burbot, Arctic grayling, slimy sculpin, humpback whitefish, round whitefish",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Monsoon Lake,-146.62531,62.82704,49.78,,,,,8/23/1976,Chinook salmon,"lake trout, burbot, Arctic grayling, whitefish-unspecified",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Monte Lake,-144.08433,63.50359,60,,,32.8,3.67,7/10/2008,rainbow trout,"lake trout, rainbow trout, slimy sculpin",Yes,391.4814815,830.3922222,27,27,,
Region III,Fairbanks (Lower Tanana River Drainage),Lost Lake  (Chisholm Lake) (near Birch Lake),-146.67855,64.300827,42.21,,,11.9,,3/15/2011,"Arctic char, lake trout, Arctic grayling, Chinook salmon, coho salmon, steelhead, rainbow trout, sheefish","lake chub, longnose sucker, northern pike",Yes,217.7777778,,9,,,yes
Region III,Delta (Upper Tanana River Drainage),Nabesna Twin 2 Lake,-143.27420,62.52668,7.51,,,8.4,,6/24/2009,Arctic grayling,"lake trout, burbot, Arctic grayling",Yes,564,,1,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Nancy Lake,-146.28218,62.51506,6.52,,,13.4,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,North Slope Drainages,Nanushuk Lake,-150.58767,68.39588,80.94,,,18.3,3.27,Unknown,,"lake trout, Arctic grayling, round whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Nathan Lake,-146.24136,62.51324,24.4,,,11.0,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,North Slope Drainages,Natvakruak Lake,-151.70968,68.36411,,,,18.3,,7/23/1981,,"lake trout, slimy sculpin, round whitefish",Yes,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Nenana River drainage,,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Nickel Lake,-145.834341,63.8282,2.7,,,11.0,0.75,3/15/2011,"Arctic char, Arctic grayling, lake trout, rainbow trout","Arctic grayling, longnose sucker",Yes,282,,9,,,yes
Region III,North Slope Drainages,Nigu Lake,-156.34453,68.27899,36.42,,,,,8/11/1982,,lake trout,No,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),No Mercy Lake,-145.82891,63.86414,0.96,,,7.0,0.38,8/17/2005,rainbow trout,"lake trout, longnose sucker",Yes,308.7826087,,23,,,
Region III,Northwest Drainages,Noatak River,,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Non-Yukon River drainages - Other,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,North Fork Lakes,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,North Itgaknit Lake,-149.66309,68.70018,,,,18.3,,7/15/1979,,"lake trout, Arctic grayling",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),North Lake,-146.00777,62.50976,64.75,,,14.3,,6/22/1971,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Moose Lake (Eielson AFB),-147.07095,64.6826,14.07,,,18.3,2.28,3/15/2011,"Arctic char, lake trout, Arctic grayling, coho salmon, rainbow trout",northern pike,Yes,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,North Middle Fork Lake of Goodnews River,-160.57993,59.41469,,,,,,7/1/1975,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Steese Highway Mile 33.5 Pit,-147.38645,65.148734,0.93,,,3.5,0.38,6/21/2006,"Arctic grayling, rainbow trout",burbot,Yes,,,,,,yes
Region III,Northwest Drainages,Nutuvuki Lake,-154.71343,66.98426,1535.48,"329,600,991",21.47,52.6,23.90,7/8/2014,,"lake trout, burbot, stickleback-unspecified, northern pike, humpback whitefish",Yes,522,,3,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Octopus Lake,-146.28918,62.52364,31.44,,,8.8,,1/1/1988,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Octopus Lake (Denali Hwy),-145.71460,63.06127,8.09,,,18.6,,7/8/1965,,"lake trout, Arctic grayling, whitefish-unspecified",Yes,626,,5,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ohio Lake,-146.23729,62.57702,68.8,,,7.6,,6/24/1967,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",Yes,,,,,,
Region III,Kuskokwim-Goodnews Drainages,Ohnlik Lake,-160.26446,59.73702,,,,30.5,,7/1/1975,,"Arctic char, lake trout, sockeye salmon, round whitefish",No,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Triangle Lake,-150.33857,64.597334,44.05,,,13.1,2.57,7/13/2006,"lake trout, Arctic grayling, rainbow trout",Alaska blackfish,Yes,,,,,,yes
Region III,North Slope Drainages,Oolah area streams,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Other lakes,,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Other lakes,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Other lakes Kuskokwim Bay,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Other lakes Kuskokwim drainage above Aniak,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Other lakes Kuskokwim drainage below Aniak,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Other streams,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,Other streams Kuskokwim drainages above Aniak,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Long Lake (Nabesna Road near Slana),-143.40431,62.555657,16.19,,,3.7,,8/9/1960,,"burbot, Arctic grayling",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Paxson Lake,-145.53322,62.90736,1569.9,"202,708,713",12.91,29.2,39.80,9/25/2020,"lake trout, Chinook salmon","lake trout, burbot, Arctic grayling, sockeye salmon, humpback whitefish, round whitefish",Yes,508,5965,13632,535,yes,yes
Region III,Kuskokwim-Goodnews Drainages,Pegati Lake,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Summit Lake (Richardson Highway near Paxson),-145.53726,63.15242,1770.12,"276,092,023",15.6,63.4,48.63,8/21/2013,lake trout,burbot,Yes,444.2222222,,9,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Petrokov Lake,-146.51280,63.18900,,,,6.0,,7/9/2009,,"lake trout, burbot, Arctic grayling, slimy sculpin",No,398,,14,,,
Region III,Delta (Upper Tanana River Drainage),Ptarmigan Lake,-141.16443,61.85609,259,,,12.2,14.58,8/14/1991,,"lake trout, burbot, Arctic grayling, longnose sucker, round whitefish",No,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Ptarmigan Lake (14 miles northeast of Healy),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Pup Lake,-145.97935,62.41633,117.36,,,3.7,,7/19/1965,,"lake trout, burbot, Arctic grayling, longnose sucker, sockeye salmon, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Raindrop Lake,-144.37887,62.94191,14.16,,,,,8/28/1973,,lake trout,No,,,,,,
Region III,Delta (Upper Tanana River Drainage),Rangeview Lake,-145.829242,63.705764,2,,,5.2,0.60,3/15/2011,"Arctic char, Arctic grayling, lake trout, rainbow trout",slimy sculpin,Yes,205,,1,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tonsina Lake,-145.52318,61.501518,1392.12,,,0.0,,7/21/1976,,,Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Roberta Lake,-146.31418,62.33034,48.56,,,11.6,,6/21/1982,,"lake trout, burbot, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Rock Lake,,,,,,,,,,,,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Rockhound Lake,-145.825159,63.863878,1,,,8.7,0.35,8/17/2005,"lake trout, rainbow trout","longnose sucker, slimy sculpin",Yes,337.8918919,,37,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Rolo Lake,-146.11158,62.56848,19.99,,,16.1,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Roosevelt Lake,-147.16370,63.18343,32.37,,,,,9/1/1974,,"lake trout, Arctic grayling",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Ross Lake,-146.22611,62.51004,10.97,,,4.0,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,North Slope Drainages,Round Lake (Chandler),-152.59411,68.32142,194.25,,,13.7,,1/1/1964,,lake trout,No,503,,7,,,
Region III,Delta (Upper Tanana River Drainage),Round Tangle Lake,-145.99031,63.05591,156.15,"15,595,922",10,27.3,9.63,6/28/2017,,"lake trout, burbot, Arctic grayling, longnose sucker, slimy sculpin, round whitefish",Yes,494.08,,50,,,
Region III,Delta (Upper Tanana River Drainage),Rusty Lake,-145.88997,63.05248,24.28,,,,,7/9/1965,,"lake trout, Arctic grayling",No,,,,,,
Region III,North Slope Drainages,Sagavanirktok River (Dalton Highway),,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Sandy Lake,-147.15805,62.75788,202.34,,,,,6/1/1966,,"lake trout, Arctic grayling, longnose sucker, whitefish-unspecified",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Scott Lake,-146.19894,62.53590,6.52,,,11.6,,1/1/1988,,"lake trout, burbot, longnose sucker, humpback whitefish",No,,,,,,
Region III,Northwest Drainages,Selawik Lake,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,North Lime Lake,-155.34776,61.43514,777.00,,,4.6,,7/1/1978,,"Arctic grayling, northern pike, slimy sculpin",No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Sevenmile Lake,-146.27078,63.18142,622.75,"56,793,224",9.12,48.3,24.54,8/12/2014,,"lake trout, Arctic grayling",Yes,387.3125,,64,,,
Region III,Delta (Upper Tanana River Drainage),Sevenmile Lake (Denali Hwy),-145.61895,63.09816,35.13,"1,531,226",4.4,14.1,3.20,9/6/2008,,"lake trout, burbot, Arctic grayling, slimy sculpin",Yes,351,538,3331,160,yes,yes
Region III,Fairbanks (Lower Tanana River Drainage),"Sevenmile Lake (SE of Anderson, no fish)",,,,,,,,,,,,,,,,,yes
Region III,North Slope Drainages,Shainin Lake,-151.06103,68.33950,,,,17.7,,8/17/1977,,"lake trout, Arctic grayling, slimy sculpin, round whitefish",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Shallow Tangle Lake,-145.96391,63.07659,102.84,"4,021,372",3.91,22.6,11.92,6/14/2022,,"lake trout, burbot, Arctic grayling, longnose sucker, round whitefish",Yes,437.75,,8,,,
Region II,Kenai (Upper Kenai Peninsula),Skilak Lake ,-150.37361,60.41639,9914.8,,,,,12/20/1972,,"Dolly Varden, lake trout, coho salmon, sockeye salmon, rainbow trout, whitefish-unspecified",Yes,349.3342318,462.7176075,371,372,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Snodgrass Lake,-147.55258,63.08039,83.8,"4,914,730",5.86,26.0,3.70,6/11/2019,,"lake trout, burbot, Arctic grayling, longnose sucker, slimy sculpin, humpback whitefish, round whitefish",No,384,,3,,,
Region III,Fairbanks (Lower Tanana River Drainage),Soule Lake,,,,,,,,,,,,,,,,,yes
Region III,Kuskokwim-Goodnews Drainages,South Middle Fork Lake of Goodnews River,-160.56237,59.39926,161.87,,,22.9,,7/1/1975,,"Arctic char, lake trout, sockeye salmon, round whitefish",Yes,,,,,,
Region III,Delta (Upper Tanana River Drainage),South Twin Lake,-145.83851,63.86333,5.38,,,5.1,1.29,8/24/2005,"Chinook salmon, coho salmon, rainbow trout","lake trout, slimy sculpin",Yes,191.5,,20,,,
Region III,Yukon River Drainage,Squaw Lake,-148.21184,67.61015,497.36,,,13.7,,7/31/1975,,"lake trout, Arctic grayling, northern pike, humpback whitefish",Yes,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Stan Lake,-146.22518,62.54288,12.67,,,11.3,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,North Slope Drainages,Peters Lake (Schrader Lake),-145.04738,69.322914,,,,0.0,,1/1/1968,,"Arctic char, lake trout, Arctic grayling, whitefish-unspecified",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Suluklak Lake,-146.13922,62.58586,22.1,,,14.0,,1/1/1988,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,
Region III,Fairbanks (Lower Tanana River Drainage),Summit Lake (Parks Hwy),-149.15813,63.31164,182.39,,,9.4,,6/24/2010,"Arctic char, lake trout","Arctic char, lake trout, burbot, Arctic grayling, slimy sculpin, humpback whitefish, round whitefish",Yes,330,,2,,,yes
Region III,Fairbanks (Lower Tanana River Drainage),Summit Lake (Paxson),,,,,,,48.63,,,,,330,,2,,,
Region III,North Slope Drainages,Toolik Lake (Dalton Highway),-149.60683,68.63288,,,,0.0,,1/0/1900,,,No,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Sunny Lake,-146.10733,62.54088,15.01,,,15.8,,1/1/1987,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Susan Lake,-146.23168,62.48357,45.04,,,5.5,,1/1/1987,,"lake trout, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Susitna Lake,-146.67209,62.39545,,,,,87.06,1/0/1900,,"lake trout, burbot",Yes,406.25,510,24,2,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Swallow Tail Lake,-146.29572,62.56749,17.32,,,8.2,,7/23/1991,,"lake trout, Arctic grayling, longnose sucker, humpback whitefish, round whitefish",No,,,,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Swan Lake (by Lake Louise),-146.48068,62.37122,,,,,,1/0/1900,,"lake trout, longnose sucker, whitefish-unspecified",No,,,,,,
Region II,Kenai (Upper Kenai Peninsula),Swan Lake (Cooper Landing),-149.84282,60.61404,36.42,,,21.9,,7/11/1968,,"Dolly Varden, lake trout, coho salmon, sockeye salmon, rainbow trout",Yes,464.5,,8,,,
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Swede Lake (Big Swede Lake),,,,,,,,,,,,,,,,,yes
Region III,Yukon River Drainage,Takahula Lake,-153.66540,67.35308,141.64,,,19.8,,7/29/1967,,"Arctic char, lake trout, Arctic grayling, northern pike, coho salmon, slimy sculpin, broad whitefish, round whitefish",Yes,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tanada Creek,,,,,,,,,,,,,,,,,yes
Region III,Glennallen (Upper Copper-Upper Susitna Drainages),Tanada Lake,-143.37573,62.42391,1203.36,"233,976,782",19.44,51.8,33.24,9/15/2010,,"lake trout, burbot, Arctic grayling, sockeye salmon, round whitefish",Yes,374,,2,,,yes
Region III,Northwest Drainages,Matcharak Lake,-156.20872,67.7472,664.09,,,17.1,,7/1/1977,,"lake trout, least cisco, round whitefish",Yes,,,,,,yes
Region III,Delta (Upper Tanana River Drainage),Tangle Lakes and Tangle River,,,,,,,,,,,,,,,,,yes
